name,source,region,number_of_games,start_date,end_date
Elite Series Summer 2024,https://gol.gg/tournament/tournament-stats/Elite%20Series%20Summer%202024/,BE,55,2024-06-04,2024-07-13
Arabian League Summer Playoffs 2024,https://gol.gg/tournament/tournament-stats/Arabian%20League%20Summer%20Playoffs%202024/,AL,13,2024-07-09,2024-07-12
Prime League Summer 2024,https://gol.gg/tournament/tournament-stats/Prime%20League%20Summer%202024/,DE,90,2024-05-22,2024-07-10
LCO Split 2 2024,https://gol.gg/tournament/tournament-stats/LCO%20Split%202%202024/,OCE,56,2024-05-27,2024-07-09
LVP SL 2nd Div Summer 2024,https://gol.gg/tournament/tournament-stats/LVP%20SL%202nd%20Div%20Summer%202024/,ES,56,2024-05-24,2024-07-09
Esports World Cup 2024,https://gol.gg/tournament/tournament-stats/Esports%20World%20Cup%202024/,WR,19,2024-07-04,2024-07-07
LFL Div2 Summer 2024,https://gol.gg/tournament/tournament-stats/LFL%20Div2%20Summer%202024/,FR,90,2024-05-21,2024-07-05
LIT Summer 2024,https://gol.gg/tournament/tournament-stats/LIT%20Summer%202024/,IT,48,2024-05-23,2024-07-05
GLL Summer 2024,https://gol.gg/tournament/tournament-stats/GLL%20Summer%202024/,GR,56,2024-05-21,2024-07-03
EBL Summer 2024,https://gol.gg/tournament/tournament-stats/EBL%20Summer%202024/,RS,56,2024-05-23,2024-07-02
Prime League 2nd Div Summer 2024,https://gol.gg/tournament/tournament-stats/Prime%20League%202nd%20Div%20Summer%202024/,DE,90,2024-05-20,2024-07-02
LEC Summer Season 2024,https://gol.gg/tournament/tournament-stats/LEC%20Summer%20Season%202024/,EUW,47,2024-06-08,2024-06-30
LPL Summer Placements 2024,https://gol.gg/tournament/tournament-stats/LPL%20Summer%20Placements%202024/,CN,130,2024-06-01,2024-06-29
LPLOL Summer 2024,https://gol.gg/tournament/tournament-stats/LPLOL%20Summer%202024/,PT,56,2024-05-23,2024-06-28
Arabian League Summer 2024,https://gol.gg/tournament/tournament-stats/Arabian%20League%20Summer%202024/,AL,56,2024-05-23,2024-06-27
MSI 2024,https://gol.gg/tournament/tournament-stats/MSI%202024/,WR,78,2024-05-01,2024-05-19
CBLOL Academy Split 1 Playoffs 2024,https://gol.gg/tournament/tournament-stats/CBLOL%20Academy%20Split%201%20Playoffs%202024/,BR,72,2024-03-11,2024-04-28
EMEA Masters Spring 2024,https://gol.gg/tournament/tournament-stats/EMEA%20Masters%20Spring%202024/,WR,80,2024-04-19,2024-04-28
LCO Split 1 Playoffs 2024,https://gol.gg/tournament/tournament-stats/LCO%20Split%201%20Playoffs%202024/,OCE,22,2024-02-26,2024-04-28
CBLOL Split 1 Playoffs 2024,https://gol.gg/tournament/tournament-stats/CBLOL%20Split%201%20Playoffs%202024/,BR,40,2024-03-22,2024-04-20
LPL Spring Playoffs 2024,https://gol.gg/tournament/tournament-stats/LPL%20Spring%20Playoffs%202024/,CN,51,2024-03-31,2024-04-20
EMEA Masters Spring Play-In 2024,https://gol.gg/tournament/tournament-stats/EMEA%20Masters%20Spring%20Play-In%202024/,WR,59,2024-04-15,2024-04-17
LCK Spring Playoffs 2024,https://gol.gg/tournament/tournament-stats/LCK%20Spring%20Playoffs%202024/,KR,32,2024-03-30,2024-04-14
LEC Spring Playoffs 2024,https://gol.gg/tournament/tournament-stats/LEC%20Spring%20Playoffs%202024/,EUW,42,2024-03-30,2024-04-14
GLL Spring Playoffs 2024,https://gol.gg/tournament/tournament-stats/GLL%20Spring%20Playoffs%202024/,GR,15,2024-03-19,2024-04-12
LCK CL Spring Playoffs 2024,https://gol.gg/tournament/tournament-stats/LCK%20CL%20Spring%20Playoffs%202024/,KR,31,2024-03-25,2024-04-12
Prime League Spring Playoffs 2024,https://gol.gg/tournament/tournament-stats/Prime%20League%20Spring%20Playoffs%202024/,DE,26,2024-03-20,2024-04-12
LVP SL 2nd Div Spring Playoffs 2024,https://gol.gg/tournament/tournament-stats/LVP%20SL%202nd%20Div%20Spring%20Playoffs%202024/,ES,14,2024-03-24,2024-04-12
