name,source,region,number_of_games,start_date,end_date
LCS Summer 2019,https://gol.gg/tournament/tournament-stats/LCS%20Summer%202019/,NA,93,2019-06-01,2019-08-04
LLA Closing 2019,https://gol.gg/tournament/tournament-stats/LLA%20Closing%202019/,LAT,84,2019-06-08,2019-08-04
LFL Summer 2019,https://gol.gg/tournament/tournament-stats/LFL%20Summer%202019/,FR,69,2019-05-21,2019-07-31
NA Academy Summer 2019,https://gol.gg/tournament/tournament-stats/NA%20Academy%20Summer%202019/,NA,90,2019-05-31,2019-07-28
PG Nationals Summer 2019,https://gol.gg/tournament/tournament-stats/PG%20Nationals%20Summer%202019/,IT,72,2019-06-02,2019-07-28
LCK-LPL-LMS-VCS Rift Rivals 2019,https://gol.gg/tournament/tournament-stats/LCK-LPL-LMS-VCS%20Rift%20Rivals%202019/,WR,19,2019-07-04,2019-07-07
NA-EU Rift Rivals 2019,https://gol.gg/tournament/tournament-stats/NA-EU%20Rift%20Rivals%202019/,WR,13,2019-06-27,2019-06-29
Mid-Season Invitational 2019,https://gol.gg/tournament/tournament-stats/Mid-Season%20Invitational%202019/,WR,42,2019-05-10,2019-05-19
MSI Play-In 2019,https://gol.gg/tournament/tournament-stats/MSI%20Play-In%202019/,WR,37,2019-05-01,2019-05-07
EU Master Spring 2019,https://gol.gg/tournament/tournament-stats/EU%20Master%20Spring%202019/,EUW,45,2019-04-15,2019-04-28
LST Spring 2019,https://gol.gg/tournament/tournament-stats/LST%20Spring%202019/,SEA,7,2019-04-20,2019-04-21
LPL Spring Playoffs 2019,https://gol.gg/tournament/tournament-stats/LPL%20Spring%20Playoffs%202019/,CN,31,2019-04-04,2019-04-21
LCK Summer Promotion 2019,https://gol.gg/tournament/tournament-stats/LCK%20Summer%20Promotion%202019/,KR,16,2019-04-16,2019-04-21
LLA Opening Playoffs 2019,https://gol.gg/tournament/tournament-stats/LLA%20Opening%20Playoffs%202019/,LAT,21,2019-03-30,2019-04-20
LMS Spring Playoffs 2019,https://gol.gg/tournament/tournament-stats/LMS%20Spring%20Playoffs%202019/,TW,12,2019-04-12,2019-04-20
LEC Spring Playoffs 2019,https://gol.gg/tournament/tournament-stats/LEC%20Spring%20Playoffs%202019/,EUW,21,2019-03-29,2019-04-14
LCL Spring Playoffs 2019,https://gol.gg/tournament/tournament-stats/LCL%20Spring%20Playoffs%202019/,CIS,10,2019-03-30,2019-04-14
VCS Spring Playoffs 2019,https://gol.gg/tournament/tournament-stats/VCS%20Spring%20Playoffs%202019/,VN,13,2019-03-30,2019-04-13
TCL Spring Playoffs 2019,https://gol.gg/tournament/tournament-stats/TCL%20Spring%20Playoffs%202019/,TR,17,2019-03-29,2019-04-13
CBLOL Summer Playoffs 2019,https://gol.gg/tournament/tournament-stats/CBLOL%20Summer%20Playoffs%202019/,BR,13,2019-04-06,2019-04-13
LCS Spring Playoffs 2019,https://gol.gg/tournament/tournament-stats/LCS%20Spring%20Playoffs%202019/,NA,22,2019-03-29,2019-04-13
LCK Spring Playoffs 2019,https://gol.gg/tournament/tournament-stats/LCK%20Spring%20Playoffs%202019/,KR,12,2019-04-03,2019-04-13
LJL Spring Playoffs 2019,https://gol.gg/tournament/tournament-stats/LJL%20Spring%20Playoffs%202019/,JP,6,2019-04-06,2019-04-13
EU Master 2019 Spring Play-In,https://gol.gg/tournament/tournament-stats/EU%20Master%202019%20Spring%20Play-In/,EUW,25,2019-04-08,2019-04-11
PG Nationals Spring 2019,https://gol.gg/tournament/tournament-stats/PG%20Nationals%20Spring%202019/,IT,73,2019-01-27,2019-04-07
OPL Split 1 Playoffs 2019,https://gol.gg/tournament/tournament-stats/OPL%20Split%201%20Playoffs%202019/,OCE,13,2019-03-28,2019-04-06
NA Academy Spring Playoffs 2019,https://gol.gg/tournament/tournament-stats/NA%20Academy%20Spring%20Playoffs%202019/,NA,19,2019-03-21,2019-04-06
LFL Spring 2019,https://gol.gg/tournament/tournament-stats/LFL%20Spring%202019/,FR,74,2019-01-22,2019-04-03
LCK Spring 2019,https://gol.gg/tournament/tournament-stats/LCK%20Spring%202019/,KR,208,2019-01-16,2019-03-31
LMS Spring 2019,https://gol.gg/tournament/tournament-stats/LMS%20Spring%202019/,TW,138,2019-01-17,2019-03-31
LPL Spring 2019,https://gol.gg/tournament/tournament-stats/LPL%20Spring%202019/,CN,292,2019-01-14,2019-03-31
LVP SLO Spring 2019,https://gol.gg/tournament/tournament-stats/LVP%20SLO%20Spring%202019/,ES,112,2019-01-30,2019-03-31
LVP UKLC Spring 2019,https://gol.gg/tournament/tournament-stats/LVP%20UKLC%20Spring%202019/,UK,59,2019-02-14,2019-03-29
Ultraliga Season 1,https://gol.gg/tournament/tournament-stats/Ultraliga%20Season%201/,PL,79,2019-01-22,2019-03-27
VCS Spring 2019,https://gol.gg/tournament/tournament-stats/VCS%20Spring%202019/,VN,134,2019-01-17,2019-03-24
LCL Spring 2019,https://gol.gg/tournament/tournament-stats/LCL%20Spring%202019/,CIS,57,2019-02-16,2019-03-24
Hitpoint LEGENDS 3,https://gol.gg/tournament/tournament-stats/Hitpoint%20LEGENDS%203/,CZ,11,2019-03-23,2019-03-24
LCS Spring 2019,https://gol.gg/tournament/tournament-stats/LCS%20Spring%202019/,NA,91,2019-01-26,2019-03-24
CBLOL Summer 2019,https://gol.gg/tournament/tournament-stats/CBLOL%20Summer%202019/,BR,84,2019-01-12,2019-03-24
LLA Opening 2019,https://gol.gg/tournament/tournament-stats/LLA%20Opening%202019/,LAT,84,2019-01-19,2019-03-24
OPL Split 1 2019,https://gol.gg/tournament/tournament-stats/OPL%20Split%201%202019/,OCE,84,2019-01-18,2019-03-23
LJL Spring 2019,https://gol.gg/tournament/tournament-stats/LJL%20Spring%202019/,JP,84,2019-01-19,2019-03-22
TCL Spring 2019,https://gol.gg/tournament/tournament-stats/TCL%20Spring%202019/,TR,91,2019-01-19,2019-03-18
Hitpoint Masters Season 11,https://gol.gg/tournament/tournament-stats/Hitpoint%20Masters%20Season%2011/,CZ,33,2019-02-17,2019-03-17
LEC Spring 2019,https://gol.gg/tournament/tournament-stats/LEC%20Spring%202019/,EUW,91,2019-01-18,2019-03-16
NA Academy Spring 2019,https://gol.gg/tournament/tournament-stats/NA%20Academy%20Spring%202019/,NA,90,2019-01-18,2019-03-16
LPLOL Spring 2019,https://gol.gg/tournament/tournament-stats/LPLOL%20Spring%202019/,PT,56,2019-01-28,2019-03-13
Kespa Cup Playoffs 2018,https://gol.gg/tournament/tournament-stats/Kespa%20Cup%20Playoffs%202018/,KR,19,2018-12-26,2018-12-31
Ultraliga Season 0,https://gol.gg/tournament/tournament-stats/Ultraliga%20Season%200/,PL,105,2018-10-22,2018-12-23
Hitpoint Masters 2020 Winter Playoffs,https://gol.gg/tournament/tournament-stats/Hitpoint%20Masters%202020%20Winter%20Playoffs/,CZ,23,2020-11-28,2020-12-06
LPLOL Grand Final 2020,https://gol.gg/tournament/tournament-stats/LPLOL%20Grand%20Final%202020/,PT,14,2020-11-16,2020-11-22
Hitpoint Masters Winter League 2020,https://gol.gg/tournament/tournament-stats/Hitpoint%20Masters%20Winter%20League%202020/,CZ,57,2020-10-18,2020-11-15
Prime League Grand Final 2020,https://gol.gg/tournament/tournament-stats/Prime%20League%20Grand%20Final%202020/,DE,46,2020-10-01,2020-11-15
Iberian Cup 2020,https://gol.gg/tournament/tournament-stats/Iberian%20Cup%202020/,WR,51,2020-10-21,2020-11-15
World Championship 2020,https://gol.gg/tournament/tournament-stats/World%20Championship%202020/,WR,76,2020-10-03,2020-10-31
LFL Finals 2020,https://gol.gg/tournament/tournament-stats/LFL%20Finals%202020/,FR,6,2020-10-06,2020-10-26
Iberian Cup 2020,https://gol.gg/tournament/tournament-stats/Iberian%20Cup%202020/,ES,5,2020-10-20,2020-10-20
LFL Summer Playoffs 2020,https://gol.gg/tournament/tournament-stats/LFL%20Summer%20Playoffs%202020/,FR,18,2020-09-28,2020-10-01
World Championship Play-In 2020,https://gol.gg/tournament/tournament-stats/World%20Championship%20Play-In%202020/,WR,38,2020-09-25,2020-09-30
LFL Summer 2020,https://gol.gg/tournament/tournament-stats/LFL%20Summer%202020/,FR,62,2020-07-28,2020-09-24
EU Masters Summer 2020,https://gol.gg/tournament/tournament-stats/EU%20Masters%20Summer%202020/,WR,69,2020-08-24,2020-09-20
LCK Regional Finals 2020,https://gol.gg/tournament/tournament-stats/LCK%20Regional%20Finals%202020/,KR,10,2020-09-07,2020-09-09
LCS Summer Playoffs 2020,https://gol.gg/tournament/tournament-stats/LCS%20Summer%20Playoffs%202020/,NA,48,2020-08-13,2020-09-06
LEC Summer Playoffs 2020,https://gol.gg/tournament/tournament-stats/LEC%20Summer%20Playoffs%202020/,EUW,30,2020-08-21,2020-09-06
LJL Summer Playoffs 2020,https://gol.gg/tournament/tournament-stats/LJL%20Summer%20Playoffs%202020/,JP,25,2020-08-16,2020-09-06
CBLOL Split 2 Playoffs 2020,https://gol.gg/tournament/tournament-stats/CBLOL%20Split%202%20Playoffs%202020/,BR,14,2020-08-22,2020-09-05
LCK Summer Playoffs 2020,https://gol.gg/tournament/tournament-stats/LCK%20Summer%20Playoffs%202020/,KR,14,2020-08-26,2020-09-05
TCL Summer Playoffs 2020,https://gol.gg/tournament/tournament-stats/TCL%20Summer%20Playoffs%202020/,TR,21,2020-08-15,2020-09-05
VCS Summer Playoffs 2020,https://gol.gg/tournament/tournament-stats/VCS%20Summer%20Playoffs%202020/,VN,34,2020-08-19,2020-09-05
LVP SLO Summer Playoffs 2020,https://gol.gg/tournament/tournament-stats/LVP%20SLO%20Summer%20Playoffs%202020/,ES,19,2020-08-10,2020-09-04
CK Summer Playoffs 2020,https://gol.gg/tournament/tournament-stats/CK%20Summer%20Playoffs%202020/,KR,10,2020-08-24,2020-08-31
LCL Summer Playoffs 2020,https://gol.gg/tournament/tournament-stats/LCL%20Summer%20Playoffs%202020/,CIS,10,2020-08-15,2020-08-30
LPL Regional Finals 2020,https://gol.gg/tournament/tournament-stats/LPL%20Regional%20Finals%202020/,CN,12,2020-08-28,2020-08-30
PCS Summer Playoffs 2020,https://gol.gg/tournament/tournament-stats/PCS%20Summer%20Playoffs%202020/,PCS,38,2020-08-13,2020-08-30
LLA Closing Playoffs 2020,https://gol.gg/tournament/tournament-stats/LLA%20Closing%20Playoffs%202020/,LAT,14,2020-08-15,2020-08-29
OPL Split 2 Playoffs 2020,https://gol.gg/tournament/tournament-stats/OPL%20Split%202%20Playoffs%202020/,OCE,23,2020-08-14,2020-08-28
NA Academy Summer Playoffs 2020,https://gol.gg/tournament/tournament-stats/NA%20Academy%20Summer%20Playoffs%202020/,NA,18,2020-08-14,2020-08-28
LPL Summer Playoffs 2020,https://gol.gg/tournament/tournament-stats/LPL%20Summer%20Playoffs%202020/,CN,30,2020-08-13,2020-08-27
LCK Summer 2020,https://gol.gg/tournament/tournament-stats/LCK%20Summer%202020/,KR,211,2020-06-17,2020-08-23
EU Masters Summer Play-In 2020,https://gol.gg/tournament/tournament-stats/EU%20Masters%20Summer%20Play-In%202020/,WR,61,2020-08-17,2020-08-20
CK Summer 2020,https://gol.gg/tournament/tournament-stats/CK%20Summer%202020/,KR,134,2020-06-18,2020-08-20
LFL EM Qualification 2020,https://gol.gg/tournament/tournament-stats/LFL%20EM%20Qualification%202020/,FR,15,2020-08-13,2020-08-16
Prime League Summer Playoffs 2020,https://gol.gg/tournament/tournament-stats/Prime%20League%20Summer%20Playoffs%202020/,DE,14,2020-08-05,2020-08-16
Ultraliga Season 5 Promotion Tournament,https://gol.gg/tournament/tournament-stats/Ultraliga%20Season%205%20Promotion%20Tournament/,PL,8,2020-08-16,2020-08-16
VCS Summer 2020,https://gol.gg/tournament/tournament-stats/VCS%20Summer%202020/,VN,135,2020-06-19,2020-08-16
BRCC Split 2 Playoffs 2020,https://gol.gg/tournament/tournament-stats/BRCC%20Split%202%20Playoffs%202020/,BR,12,2020-08-10,2020-08-15
Ultraliga Season 4,https://gol.gg/tournament/tournament-stats/Ultraliga%20Season%204/,PL,78,2020-06-09,2020-08-12
CBLOL Split 2 2020,https://gol.gg/tournament/tournament-stats/CBLOL%20Split%202%202020/,BR,84,2020-06-06,2020-08-09
LCL Summer 2020,https://gol.gg/tournament/tournament-stats/LCL%20Summer%202020/,CIS,57,2020-06-20,2020-08-09
LCS Summer 2020,https://gol.gg/tournament/tournament-stats/LCS%20Summer%202020/,NA,91,2020-06-12,2020-08-09
LEC Summer 2020,https://gol.gg/tournament/tournament-stats/LEC%20Summer%202020/,EUW,90,2020-06-12,2020-08-09
LLA Closing 2020,https://gol.gg/tournament/tournament-stats/LLA%20Closing%202020/,LAT,66,2020-06-20,2020-08-09
LPL Summer 2020,https://gol.gg/tournament/tournament-stats/LPL%20Summer%202020/,CN,335,2020-06-05,2020-08-09
OPL Split 2 2020,https://gol.gg/tournament/tournament-stats/OPL%20Split%202%202020/,OCE,84,2020-06-05,2020-08-08
NA Academy Summer 2020,https://gol.gg/tournament/tournament-stats/NA%20Academy%20Summer%202020/,NA,90,2020-06-11,2020-08-07
LVP SLO Summer 2020,https://gol.gg/tournament/tournament-stats/LVP%20SLO%20Summer%202020/,ES,91,2020-06-15,2020-08-06
LJL Summer 2020,https://gol.gg/tournament/tournament-stats/LJL%20Summer%202020/,JP,57,2020-06-13,2020-08-05
PG Nationals Summer 2020,https://gol.gg/tournament/tournament-stats/PG%20Nationals%20Summer%202020/,IT,91,2020-05-27,2020-08-02
TCL Summer 2020,https://gol.gg/tournament/tournament-stats/TCL%20Summer%202020/,TR,91,2020-06-06,2020-08-02
PCS Summer 2020,https://gol.gg/tournament/tournament-stats/PCS%20Summer%202020/,PCS,90,2020-06-20,2020-08-01
Prime League Summer 2020,https://gol.gg/tournament/tournament-stats/Prime%20League%20Summer%202020/,DE,90,2020-06-09,2020-07-30
BRCC Split 2 2020,https://gol.gg/tournament/tournament-stats/BRCC%20Split%202%202020/,BR,45,2020-06-08,2020-07-28
Hitpoint Masters Season 14,https://gol.gg/tournament/tournament-stats/Hitpoint%20Masters%20Season%2014/,CZ,55,2020-06-21,2020-07-26
LPLOL Summer 2020,https://gol.gg/tournament/tournament-stats/LPLOL%20Summer%202020/,PT,56,2020-06-08,2020-07-14
REL Season 2,https://gol.gg/tournament/tournament-stats/REL%20Season%202/,RO,52,2020-04-12,2020-06-07
Mid-Season Cup 2020,https://gol.gg/tournament/tournament-stats/Mid-Season%20Cup%202020/,WR,25,2020-05-28,2020-05-31
Mid-Season Showdown 2020,https://gol.gg/tournament/tournament-stats/Mid-Season%20Showdown%202020/,WR,20,2020-05-07,2020-05-30
CBLOL Split 2 Promotion 2020,https://gol.gg/tournament/tournament-stats/CBLOL%20Split%202%20Promotion%202020/,BR,5,2020-05-19,2020-05-19
BRCC Split 1 Playoffs 2020,https://gol.gg/tournament/tournament-stats/BRCC%20Split%201%20Playoffs%202020/,BR,10,2020-05-11,2020-05-16
EU Masters Spring 2020,https://gol.gg/tournament/tournament-stats/EU%20Masters%20Spring%202020/,WR,71,2020-04-22,2020-05-10
TCL Spring Playoffs 2020,https://gol.gg/tournament/tournament-stats/TCL%20Spring%20Playoffs%202020/,TR,18,2020-04-27,2020-05-10
CBLOL Split 1 Playoffs 2020,https://gol.gg/tournament/tournament-stats/CBLOL%20Split%201%20Playoffs%202020/,BR,9,2020-05-02,2020-05-09
BRCC Split 1 2020,https://gol.gg/tournament/tournament-stats/BRCC%20Split%201%202020/,BR,45,2020-02-03,2020-05-06
LJL Spring Playoffs 2020,https://gol.gg/tournament/tournament-stats/LJL%20Spring%20Playoffs%202020/,JP,26,2020-03-21,2020-05-04
PCS Spring Playoffs 2020,https://gol.gg/tournament/tournament-stats/PCS%20Spring%20Playoffs%202020/,PCS,40,2020-04-10,2020-05-03
LLA Opening Playoffs 2020,https://gol.gg/tournament/tournament-stats/LLA%20Opening%20Playoffs%202020/,LAT,13,2020-04-25,2020-05-02
LPL Spring Playoffs 2020,https://gol.gg/tournament/tournament-stats/LPL%20Spring%20Playoffs%202020/,CN,31,2020-04-22,2020-05-02
LCK Summer Promotion 2020,https://gol.gg/tournament/tournament-stats/LCK%20Summer%20Promotion%202020/,KR,12,2020-04-28,2020-04-30
CBLOL Split 1 2020,https://gol.gg/tournament/tournament-stats/CBLOL%20Split%201%202020/,BR,84,2020-01-25,2020-04-26
LCL Spring Playoffs 2020,https://gol.gg/tournament/tournament-stats/LCL%20Spring%20Playoffs%202020/,CIS,9,2020-04-18,2020-04-26
LCK Spring Playoffs 2020,https://gol.gg/tournament/tournament-stats/LCK%20Spring%20Playoffs%202020/,KR,15,2020-04-18,2020-04-25
OPL Split 1 Playoffs 2020,https://gol.gg/tournament/tournament-stats/OPL%20Split%201%20Playoffs%202020/,OCE,26,2020-04-10,2020-04-24
CK Spring 2020,https://gol.gg/tournament/tournament-stats/CK%20Spring%202020/,KR,151,2020-02-06,2020-04-23
LPL Spring 2020,https://gol.gg/tournament/tournament-stats/LPL%20Spring%202020/,CN,330,2020-01-13,2020-04-20
LCS Spring Playoffs 2020,https://gol.gg/tournament/tournament-stats/LCS%20Spring%20Playoffs%202020/,NA,31,2020-04-04,2020-04-19
LEC Spring Playoffs 2020,https://gol.gg/tournament/tournament-stats/LEC%20Spring%20Playoffs%202020/,EUW,31,2020-04-03,2020-04-19
LLA Opening 2020,https://gol.gg/tournament/tournament-stats/LLA%20Opening%202020/,LAT,66,2020-02-15,2020-04-19
VCS Spring Playoffs 2020,https://gol.gg/tournament/tournament-stats/VCS%20Spring%20Playoffs%202020/,VN,14,2020-04-10,2020-04-18
NA Academy Spring Playoffs 2020,https://gol.gg/tournament/tournament-stats/NA%20Academy%20Spring%20Playoffs%202020/,NA,17,2020-04-02,2020-04-17
LCK Spring 2020,https://gol.gg/tournament/tournament-stats/LCK%20Spring%202020/,KR,223,2020-02-05,2020-04-16
TCL Spring 2020,https://gol.gg/tournament/tournament-stats/TCL%20Spring%202020/,TR,73,2020-02-01,2020-04-14
LCL Spring 2020,https://gol.gg/tournament/tournament-stats/LCL%20Spring%202020/,CIS,58,2020-02-22,2020-04-12
EU Masters Spring Play-In 2020,https://gol.gg/tournament/tournament-stats/EU%20Masters%20Spring%20Play-In%202020/,WR,59,2020-04-06,2020-04-09
LFL Spring 2020,https://gol.gg/tournament/tournament-stats/LFL%20Spring%202020/,FR,71,2020-01-21,2020-04-09
PCS Spring 2020,https://gol.gg/tournament/tournament-stats/PCS%20Spring%202020/,PCS,92,2020-02-29,2020-04-05
VCS Spring 2020,https://gol.gg/tournament/tournament-stats/VCS%20Spring%202020/,VN,137,2020-01-31,2020-04-05
OPL Split 1 2020,https://gol.gg/tournament/tournament-stats/OPL%20Split%201%202020/,OCE,84,2020-01-31,2020-04-04
LVP SLO Spring 2020,https://gol.gg/tournament/tournament-stats/LVP%20SLO%20Spring%202020/,ES,109,2020-01-23,2020-04-02
Ultraliga Season 3,https://gol.gg/tournament/tournament-stats/Ultraliga%20Season%203/,PL,78,2020-01-28,2020-04-01
LCS Spring 2020,https://gol.gg/tournament/tournament-stats/LCS%20Spring%202020/,NA,94,2020-01-25,2020-03-30
Hitpoint Masters Season 13 Playoffs - Legends,https://gol.gg/tournament/tournament-stats/Hitpoint%20Masters%20Season%2013%20Playoffs%20-%20Legends/,CZ,21,2020-03-15,2020-03-29
PG Nationals Spring 2020,https://gol.gg/tournament/tournament-stats/PG%20Nationals%20Spring%202020/,IT,75,2020-01-22,2020-03-29
Prime League Spring 2020,https://gol.gg/tournament/tournament-stats/Prime%20League%20Spring%202020/,DE,109,2020-01-21,2020-03-29
LEC Spring 2020,https://gol.gg/tournament/tournament-stats/LEC%20Spring%202020/,EUW,90,2020-01-24,2020-03-28
NA Academy Spring 2020,https://gol.gg/tournament/tournament-stats/NA%20Academy%20Spring%202020/,NA,90,2020-01-25,2020-03-27
LPLOL Spring 2020,https://gol.gg/tournament/tournament-stats/LPLOL%20Spring%202020/,PT,70,2020-01-18,2020-03-22
LJL Spring 2020,https://gol.gg/tournament/tournament-stats/LJL%20Spring%202020/,JP,57,2020-02-08,2020-03-12
Hitpoint Masters Season 13,https://gol.gg/tournament/tournament-stats/Hitpoint%20Masters%20Season%2013/,CZ,56,2020-01-26,2020-03-08
Kespa Cup 2019,https://gol.gg/tournament/tournament-stats/Kespa%20Cup%202019/,KR,46,2019-12-23,2020-01-05
Demacia Cup 2019,https://gol.gg/tournament/tournament-stats/Demacia%20Cup%202019/,CN,72,2019-12-21,2019-12-29
VCS Winter Playoffs 2021,https://gol.gg/tournament/tournament-stats/VCS%20Winter%20Playoffs%202021/,VN,17,2021-12-22,2021-12-26
VCS Winter 2021,https://gol.gg/tournament/tournament-stats/VCS%20Winter%202021/,VN,131,2021-11-16,2021-12-17
GLL Winter Playoffs 2021,https://gol.gg/tournament/tournament-stats/GLL%20Winter%20Playoffs%202021/,GR,24,2021-11-22,2021-12-07
GLL Winter 2021,https://gol.gg/tournament/tournament-stats/GLL%20Winter%202021/,GR,56,2021-10-11,2021-11-16
Prime League Winter Cup 2021,https://gol.gg/tournament/tournament-stats/Prime%20League%20Winter%20Cup%202021/,DE,49,2021-10-03,2021-11-14
LPLOL Grand Final 2021,https://gol.gg/tournament/tournament-stats/LPLOL%20Grand%20Final%202021/,PT,25,2021-10-30,2021-11-13
World Championship 2021,https://gol.gg/tournament/tournament-stats/World%20Championship%202021/,WR,83,2021-10-11,2021-11-06
World Championship Play-In 2021,https://gol.gg/tournament/tournament-stats/World%20Championship%20Play-In%202021/,WR,38,2021-10-05,2021-10-09
LFL Finals 2021,https://gol.gg/tournament/tournament-stats/LFL%20Finals%202021/,FR,10,2021-08-27,2021-10-04
LCS Proving Grounds Summer 2021,https://gol.gg/tournament/tournament-stats/LCS%20Proving%20Grounds%20Summer%202021/,NA,86,2021-09-02,2021-09-26
LFL Promotion 2021,https://gol.gg/tournament/tournament-stats/LFL%20Promotion%202021/,FR,18,2021-09-20,2021-09-24
EU Masters Summer 2021,https://gol.gg/tournament/tournament-stats/EU%20Masters%20Summer%202021/,WR,78,2021-08-30,2021-09-19
LJL Academy Playoffs 2021,https://gol.gg/tournament/tournament-stats/LJL%20Academy%20Playoffs%202021/,JP,9,2021-09-08,2021-09-09
LJL Academy 2021,https://gol.gg/tournament/tournament-stats/LJL%20Academy%202021/,JP,30,2021-08-30,2021-09-07
LJL Summer Playoffs 2021,https://gol.gg/tournament/tournament-stats/LJL%20Summer%20Playoffs%202021/,JP,20,2021-08-08,2021-09-05
LPL Regional Finals 2021,https://gol.gg/tournament/tournament-stats/LPL%20Regional%20Finals%202021/,CN,10,2021-09-03,2021-09-05
CBLOL Split 2 Playoffs 2021,https://gol.gg/tournament/tournament-stats/CBLOL%20Split%202%20Playoffs%202021/,BR,19,2021-08-07,2021-09-04
LCL Summer Playoffs 2021,https://gol.gg/tournament/tournament-stats/LCL%20Summer%20Playoffs%202021/,CIS,25,2021-08-13,2021-09-04
TCL Summer Playoffs 2021,https://gol.gg/tournament/tournament-stats/TCL%20Summer%20Playoffs%202021/,TR,20,2021-08-14,2021-09-04
LCK Regional Finals 2021,https://gol.gg/tournament/tournament-stats/LCK%20Regional%20Finals%202021/,KR,12,2021-08-31,2021-09-02
LPL Summer Playoffs 2021,https://gol.gg/tournament/tournament-stats/LPL%20Summer%20Playoffs%202021/,CN,46,2021-08-12,2021-09-02
LCO Split 2 Playoffs 2021,https://gol.gg/tournament/tournament-stats/LCO%20Split%202%20Playoffs%202021/,OCE,20,2021-08-17,2021-08-31
LCS Championship 2021,https://gol.gg/tournament/tournament-stats/LCS%20Championship%202021/,NA,47,2021-08-07,2021-08-29
LEC Summer Playoffs 2021,https://gol.gg/tournament/tournament-stats/LEC%20Summer%20Playoffs%202021/,EUW,34,2021-08-13,2021-08-29
PCS Summer Playoffs 2021,https://gol.gg/tournament/tournament-stats/PCS%20Summer%20Playoffs%202021/,PCS,40,2021-08-12,2021-08-29
CBLOL Academy Split 2 Playoffs 2021,https://gol.gg/tournament/tournament-stats/CBLOL%20Academy%20Split%202%20Playoffs%202021/,BR,18,2021-08-10,2021-08-28
LCK Summer Playoffs 2021,https://gol.gg/tournament/tournament-stats/LCK%20Summer%20Playoffs%202021/,KR,18,2021-08-18,2021-08-28
LLA Closing Playoffs 2021,https://gol.gg/tournament/tournament-stats/LLA%20Closing%20Playoffs%202021/,LAT,13,2021-08-14,2021-08-28
LCK CL Summer Playoffs 2021,https://gol.gg/tournament/tournament-stats/LCK%20CL%20Summer%20Playoffs%202021/,KR,23,2021-08-16,2021-08-27
LFL Div2 Summer Playoffs 2021,https://gol.gg/tournament/tournament-stats/LFL%20Div2%20Summer%20Playoffs%202021/,FR,16,2021-08-23,2021-08-26
EU Masters Summer Play-In 2021,https://gol.gg/tournament/tournament-stats/EU%20Masters%20Summer%20Play-In%202021/,WR,63,2021-08-16,2021-08-19
NA Academy Summer Playoffs 2021,https://gol.gg/tournament/tournament-stats/NA%20Academy%20Summer%20Playoffs%202021/,NA,24,2021-08-05,2021-08-19
LFL Div2 Summer 2021,https://gol.gg/tournament/tournament-stats/LFL%20Div2%20Summer%202021/,FR,90,2021-06-14,2021-08-17
LCK Summer 2021,https://gol.gg/tournament/tournament-stats/LCK%20Summer%202021/,KR,226,2021-06-09,2021-08-15
LFL Summer Playoffs 2021,https://gol.gg/tournament/tournament-stats/LFL%20Summer%20Playoffs%202021/,FR,16,2021-08-04,2021-08-12
LVP Summer Playoffs 2021,https://gol.gg/tournament/tournament-stats/LVP%20Summer%20Playoffs%202021/,ES,21,2021-08-02,2021-08-12
Baltic Masters Summer Playoffs 2021,https://gol.gg/tournament/tournament-stats/Baltic%20Masters%20Summer%20Playoffs%202021/,LT,14,2021-08-07,2021-08-11
LCO Split 2 2021,https://gol.gg/tournament/tournament-stats/LCO%20Split%202%202021/,OCE,84,2021-06-15,2021-08-11
Ultraliga Season 6 Playoffs,https://gol.gg/tournament/tournament-stats/Ultraliga%20Season%206%20Playoffs/,PL,24,2021-07-27,2021-08-11
Dutch League Summer Playoffs 2021,https://gol.gg/tournament/tournament-stats/Dutch%20League%20Summer%20Playoffs%202021/,NL,16,2021-07-27,2021-08-10
LCK CL Summer 2021,https://gol.gg/tournament/tournament-stats/LCK%20CL%20Summer%202021/,KR,92,2021-06-07,2021-08-10
Belgian League Summer Playoffs 2021,https://gol.gg/tournament/tournament-stats/Belgian%20League%20Summer%20Playoffs%202021/,BE,17,2021-07-26,2021-08-09
Hitpoint Masters Summer Playoffs 2021,https://gol.gg/tournament/tournament-stats/Hitpoint%20Masters%20Summer%20Playoffs%202021/,CZ,31,2021-07-22,2021-08-08
LCL Summer 2021,https://gol.gg/tournament/tournament-stats/LCL%20Summer%202021/,CIS,55,2021-06-26,2021-08-08
LLA Closing 2021,https://gol.gg/tournament/tournament-stats/LLA%20Closing%202021/,LAT,66,2021-06-19,2021-08-08
LPL Summer 2021,https://gol.gg/tournament/tournament-stats/LPL%20Summer%202021/,CN,328,2021-06-07,2021-08-08
NLC Summer Playoffs 2021,https://gol.gg/tournament/tournament-stats/NLC%20Summer%20Playoffs%202021/,EUW,22,2021-07-27,2021-08-08
PCS Summer 2021,https://gol.gg/tournament/tournament-stats/PCS%20Summer%202021/,PCS,93,2021-07-09,2021-08-08
Prime League Summer Playoffs 2021,https://gol.gg/tournament/tournament-stats/Prime%20League%20Summer%20Playoffs%202021/,DE,17,2021-07-27,2021-08-08
TCL Summer 2021,https://gol.gg/tournament/tournament-stats/TCL%20Summer%202021/,TR,92,2021-06-12,2021-08-08
PG Nationals Summer Playoffs 2021,https://gol.gg/tournament/tournament-stats/PG%20Nationals%20Summer%20Playoffs%202021/,IT,30,2021-07-20,2021-08-07
